,hashtags,symbols,user_mentions,urls,media
42,[],[],"[{'screen_name': 'chicagosky', 'name': 'Chicago Sky', 'id': 42517286, 'id_str': '42517286', 'indices': [0, 11]}, {'screen_name': 'Candace_Parker', 'name': 'Candace Parker', 'id': 22657202, 'id_str': '22657202', 'indices': [12, 27]}]",[],
43,[],[],"[{'screen_name': 'FireTransfers', 'name': '@firetransfers', 'id': 1003715499493068807, 'id_str': '1003715499493068807', 'indices': [0, 14]}]",[],
44,[],[],"[{'screen_name': 'meninred97', 'name': 'Herbers is better than Messi change my mind', 'id': 3184686661, 'id_str': '3184686661', 'indices': [0, 11]}]",[],
45,[],[],[],[],"[{'id': 1355555037888589825, 'id_str': '1355555037888589825', 'indices': [67, 90], 'media_url': 'http://pbs.twimg.com/media/Es_mH_rXMAED4fJ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Es_mH_rXMAED4fJ.jpg', 'url': 'https://t.co/qTfLAHX3fW', 'display_url': 'pic.twitter.com/qTfLAHX3fW', 'expanded_url': 'https://twitter.com/ChicagoFire/status/1355555776123822089/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1050, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 595, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1792, 'h': 2048, 'resize': 'fit'}}}]"
46,[],[],[],[],
47,"[{'text': 'BellLetsTalk', 'indices': [36, 49]}]",[],[],[],
48,[],[],"[{'screen_name': 'VamosFire', 'name': 'Chicago Fire FC', 'id': 1195080879615463425, 'id_str': '1195080879615463425', 'indices': [3, 13]}]",[],"[{'id': 1354486822378876931, 'id_str': '1354486822378876931', 'indices': [38, 61], 'media_url': 'http://pbs.twimg.com/media/EswalqzXMAM1iUP.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EswalqzXMAM1iUP.jpg', 'url': 'https://t.co/BaieMz0dNX', 'display_url': 'pic.twitter.com/BaieMz0dNX', 'expanded_url': 'https://twitter.com/VamosFire/status/1354487372105265158/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1027, 'h': 579, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'medium': {'w': 1027, 'h': 579, 'resize': 'fit'}}, 'source_status_id': 1354487372105265158, 'source_status_id_str': '1354487372105265158', 'source_user_id': 1195080879615463425, 'source_user_id_str': '1195080879615463425'}]"
49,[],[],"[{'screen_name': 'Render312', 'name': 'Render', 'id': 1296841807221927936, 'id_str': '1296841807221927936', 'indices': [0, 10]}]",[],
50,[],[],"[{'screen_name': 'Nate9513', 'name': 'nate9513 #cf97 🧢', 'id': 1340984605, 'id_str': '1340984605', 'indices': [0, 9]}]",[],
51,[],[],"[{'screen_name': 'Wbrne', 'name': 'FrenchToast33', 'id': 323179027, 'id_str': '323179027', 'indices': [0, 6]}]",[],
